"","FEM.CT.1","FEM.CT.2","FEM.CT.3","FEM.CT.4","FEM.CT.5","FEM.CT.6","FEM.CT.7","FEM.CT.8","FEM.CT.9","MALE.CT.1","MALE.CT.2","MALE.CT.3","MALE.CT.4","MALE.CT.5","MALE.CT.6","MALE.CT.7","MALE.CT.8","MALE.CT.9","FEM.AD.1","FEM.AD.2","FEM.AD.3","FEM.AD.4","FEM.AD.6","FEM.AD.7","FEM.AD.8","FEM.AD.9","MALE.AD.1","MALE.AD.2","MALE.AD.3","MALE.AD.4","MALE.AD.5","MALE.AD.6","MALE.AD.7","MALE.AD.8","MALE.AD.9"
"TAF9B",7.43390141849197,7.64194158435864,6.83319409422378,6.90427556422471,6.96764298005955,6.13791387607187,8.22419692403612,6.18101145048277,6.37270760789028,7.44659247653116,7.38327472508144,6.19728591799791,7.50738807622318,6.88538365938367,7.32626500190492,7.19881016381546,6.69686410711479,6.9417978636852,6.78969126049416,5.1579735025704,6.62996300972672,5.27016011092609,6.87392535618786,7.38284708044581,6.90427556422471,5.13224195368241,7.34883376177467,6.61513206225189,7.55565938792478,7.375395152946,8.01499313961673,6.77685791416567,7.61419721132568,7.28741371060426,8.24371654442896
"PDK4",10.2846561181594,8.73703217194502,9.3027959523675,7.53058330405056,9.5624234258997,8.86611131746918,8.66613383224258,8.46953960585268,8.60420281805812,8.4830112873836,9.20942593849648,10.0391606188208,8.08561862246335,8.91828016933498,8.41281324030571,9.54768633237135,7.80078022952347,6.9010658110363,7.23079160468701,6.17399122321139,7.23789073932211,6.38877985491192,6.80110400180563,9.02849399595654,7.53058330405056,6.60097978345955,9.05303281198995,9.57181769483764,9.56205039494954,7.22946175655811,7.97268952721228,7.30737398002684,8.93696605424376,7.84611558345296,9.30378588108703
"CAB39",8.67352759203806,8.29217611438269,8.28418049130646,7.8832015146351,8.50920000518369,7.82201707039107,8.66872085064498,7.62909859292469,8.20307431883556,8.63735989279773,7.93644005288178,8.49781986383429,9.03608408521969,8.71522829177717,8.5096456513869,8.2049422111726,9.05567567295153,7.83324849828982,7.71196109128728,6.1073283268818,7.43973750639752,6.40049635321125,8.609537137505,8.55772576835672,7.8832015146351,6.8012071921782,8.17712416714895,8.32417853329713,8.73678882278052,9.10792141816807,9.50077104539414,7.9548989848,8.58929442318269,8.48022176217565,8.67924179260127
"PIK3C2A",8.85403336139927,9.26672951419877,8.54901260211369,8.54901260211369,8.08710701364343,7.98273778322792,9.29388371529517,8.11999428212261,8.306602180365,8.55591023791482,9.75419157730297,8.13236316062767,8.93463360910313,9.08001109026361,8.76527190719318,9.34615839417029,8.32270613694849,6.70856715964201,7.15365908810832,5.61120531639664,6.20794441929972,5.69328272195211,8.50990793203653,9.11153971603467,8.54901260211369,5.62514755654125,8.82531925661482,7.74421448399526,9.18294429709428,7.75183926314731,9.09025347419372,9.04664304797397,8.85328992699798,8.07588568342294,9.11801463052439
"PKP2",5.82538300785194,5.69091026286414,6.34138619541599,4.86001052187699,6.43434646168283,4.08232228550353,4.29243304781562,4.40160305801446,5.76137260548552,4.350094863067,3.94314888406627,4.54771255681003,6.17579643546624,6.47741494098207,6.86717310048729,4.1540845252582,7.8866803870002,7.3328476514337,6.99735039434652,7.10750862377455,7.18625607642863,6.79685748268733,7.00150562569365,4.47808416700557,4.86001052187699,6.6509473057655,4.0461015409509,3.93040037217351,5.9494697777556,4.42130067867033,4.92752526967894,4.56701887035553,5.42101860164592,4.29399296362127,4.51819453572204
"CLIC6",6.99596913678566,7.41885407358605,6.532128860742,6.74129189056368,8.05207222395,7.75374525194135,6.54540246062843,5.97598714368184,7.31126901766071,4.52189821233814,4.60332270861859,8.12893030876492,8.26126186616332,8.54239157063627,7.7627360126357,5.65079893061924,9.06820938895276,7.46126938781441,7.97215643628133,7.1283411869881,10.022165814185,10.782415505443,8.2621523772561,5.89817523056289,6.74129189056368,8.18530744573366,4.70402460641016,5.22669988655826,7.96006565013094,6.61779569461327,6.20212651726118,5.81293278259179,5.86466685063606,4.66941646500429,5.81339828803273
"POU3F1",7.20652410270463,6.92182641744289,8.28185726886325,7.58732239327405,8.51211159467503,7.05209742219458,6.5033675975363,7.44636764064817,8.40314014633979,7.25412680620171,7.58265100882175,6.11885232566425,8.11829030820348,8.11027350759036,7.58265100882175,7.58732239327405,8.82058889437075,8.40891355293506,8.66617081903499,8.5901906167016,8.40530561894566,8.33679030359998,9.38556595660381,6.91449845823847,7.58732239327405,9.23543538618656,7.08393376784,6.78887843824769,7.85702786741418,6.68058630758463,6.53445036385331,7.58732239327405,7.84295467284649,7.06553399300357,6.51866809755993
"RC3H2",5.85659822908642,5.52528500167769,5.670576399557,5.6690266666641,6.14269795860878,4.99709754385263,6.44831413544399,4.72517221686521,5.86086004057212,5.95662180853559,5.43140153422565,5.32087095679596,6.50270937328857,5.98012496131008,6.00812420536688,5.87641882562396,5.88339783845076,4.57437366739097,4.83011120990413,3.80049946650813,4.65656489089063,3.48430956115928,5.31315933137879,5.86090032086728,5.6690266666641,4.21326811366605,5.54681457442922,6.23697967337951,5.97979039441342,6.29116820767495,7.14217299216847,5.50034617590955,6.02258971946171,6.24186286804928,6.08296270841766
"OTUD4",6.3889495450454,6.16467164398054,6.75599899629357,6.22448140157667,6.73981320636621,6.07303664915345,5.93456718414745,6.14456054631784,6.29146810613679,6.19256532535247,5.62351282855568,6.20908315160339,6.19668900713531,7.03740634363636,6.31849128807226,6.56084110762782,6.01444567437134,5.04504260285869,4.9090976778356,4.44950045761322,5.16521623546774,4.20486496797456,6.37687587489239,6.76318313103493,6.22448140157667,4.78568690881274,6.19226793030556,6.59898539793938,6.67733414991878,7.23099190061266,6.84732342236195,5.86250102137067,6.50811252109621,5.44480543930396,6.03579323918972
"INO80D",5.64738784634897,7.27398358402437,6.32568275885485,5.35376344048851,6.08054470659518,5.78372405784477,6.70730762418432,5.85969022116435,6.78127011667888,5.40656694938356,6.47231053085333,6.51120191954634,5.91542603539599,6.52907503039017,6.14269795860878,6.54493842577569,5.50382249309,4.04842811329195,4.23977477324874,4.22191338222014,4.30944381872202,4.00798900242112,5.90052070581609,5.98563310587607,5.35376344048851,3.79385084731842,6.38360962561489,7.11791158897678,7.03672307600982,6.92646832471843,6.0789376583058,5.84273885040135,6.22516561734381,5.62653565414988,6.87730960497703
"RIF1",7.71912409282557,7.84853636856467,8.21743140933226,7.55840279702135,7.89726193965991,7.52297645883558,7.74650679655453,8.04371727518006,7.63381842794611,7.41166977357735,6.89483188273053,7.98081719859794,7.36178904629192,7.82487371843638,7.52207913071941,7.87639079079645,7.19767003151497,6.15169750656528,6.08684748228054,6.04611588411758,6.20554653098791,5.46099073534137,7.50757061049327,7.82725854832447,7.55840279702135,6.30580592573361,8.03319858521319,8.09105213084892,8.1448645307414,7.66120398516538,7.70298352191798,7.40260864865215,7.78060525008729,6.84842753095668,7.53359106279571
"UEVLD",8.07384264219808,8.08351367022471,7.75038599480539,7.20571634419473,7.77536786020386,7.19243980815647,8.37329222246069,7.0998032091884,7.53058330405056,7.44838404302919,7.38435084588235,7.89846052397484,7.76974778813699,7.88047160961488,7.64919238823355,7.78198926178009,7.47370530519799,6.38784129078483,6.766575072838,5.46020329415127,6.49978319577606,5.36314795794849,7.38233785050695,7.8899763407875,7.20571634419473,5.79881370796872,7.70056323232644,7.3154568744912,8.22313533068582,7.07612383452327,7.34496514667888,7.18516602224719,8.00233177673786,7.19165959626967,8.18551635269587
"C5orf22",6.09104462373551,6.26449607039397,5.80273908215036,6.3412136868586,6.03290709455522,5.31173425671405,6.75929332616417,5.51076134167092,5.93052945453225,6.78044167917853,5.74659132747712,5.9440432208059,7.51740321163729,6.43163315774409,6.2222661606775,5.93052805929117,6.7784331877035,5.93340747838988,5.53720768705389,4.62669489658281,6.10226642677251,4.66544457801098,6.67060893024055,6.50925231749949,6.3412136868586,4.39778452768909,6.01699988900847,5.97478837234238,6.54449844620407,7.56061667831731,7.66753845836274,5.88489115933162,6.41485263411109,6.70553991423623,7.01527841874794
"ETNK1",7.76538834859163,7.6949573021924,7.51050446830996,7.74945606362561,7.46443999395226,6.83566897916612,7.96568805729344,7.31726640073688,8.07276997233297,8.40828566720545,6.39758257218632,8.27940803883058,8.18301756692158,7.33840489638975,7.74702144622458,6.79743961570814,8.19823113261676,7.45783450381582,7.49066721317849,6.38192337853453,7.50477696750266,6.26678421820376,7.87480535167629,8.20283724811543,7.74945606362561,6.17298551825342,7.9356784556208,8.22016614284503,7.74945606362561,9.34875774073014,9.12050856900034,7.3276981009542,8.06082158755596,8.09318428404587,8.20160097493296
